artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	year	popularity	explicit
Allman Brothers Band	Little Martha	1.0	0.487	0.2	11	-21.64	1	0.0448	0.973	0.935	0.109	0.582	92.061	127746	1972	50	0
Allman Brothers Band	Melissa	1.0	0.533	0.362	4	-14.791	1	0.0244	0.478	0.245	0.0857	0.45	82.993	235224	1972	64	0
Allman Brothers Band	Midnight Rider	1.0	0.585	0.532	7	-9.673	1	0.0268	0.209	0.00797	0.227	0.68	94.461	180067	1970	71	0
Allman Brothers Band	Ramblin' Man	1.0	0.349	0.692	1	-11.691	1	0.0338	0.462	0.00266	0.197	0.952	179.396	288507	1989	71	0
Andrae Crouch	Let The Church Say Amen - Radio Edit	1.0	0.355	0.536	1	-7.202	1	0.0461	0.298	0.0	0.145	0.265	147.878	294813	2011	49	0
Andrew McMahon in the Wilderness	Cecilia And The Satellite	1.0	0.381	0.844	5	-7.123	1	0.144	0.0131	0.0	0.318	0.239	194.0	223880	2014	63	0
Andy Grammer	Keep Your Head Up	1.0	0.674	0.778	0	-5.367	1	0.0376	0.0469	0.0	0.145	0.816	90.01	189933	2011	72	0
Animals As Leaders	The Woven Web	1.0	0.549	0.935	6	-5.692	0	0.0518	0.00656	0.775	0.0641	0.341	118.016	247780	2014	49	0
Anita Baker	Sweet Love	1.0	0.504	0.728	10	-5.699	0	0.0234	0.36	0.0	0.159	0.683	89.255	266201	2017	57	0
Anita Wilson	It’s Done	1.0	0.496	0.931	8	-4.093	1	0.111	0.261	0.0	0.772	0.343	117.934	299360	2018	24	0
Anita Wilson	More Than Anything (Radio Edit)	1.0	0.334	0.704	11	-5.991	1	0.0857	0.151	0.0	0.109	0.2	83.999	260120	2017	45	0
Anthony Hamilton	Best of Me	1.0	0.742	0.728	10	-6.626	0	0.0315	0.00962	3.73e-05	0.134	0.697	96.01	226373	2011	60	0
Anthony Hamilton	Better Days	1.0	0.735	0.447	2	-7.898	1	0.0547	0.262	0.0	0.129	0.437	75.998	182173	2003	36	0
Anthony Hamilton	Chyna Black	1.0	0.56	0.524	2	-6.422	1	0.0438	0.167	0.0	0.318	0.236	119.936	239973	2003	29	0
Anthony Hamilton	Comin' from Where I'm From - Radio Mix	1.0	0.572	0.745	6	-6.418	0	0.367	0.184	0.0	0.154	0.593	160.037	240147	2003	52	0
Anthony Hamilton	Float	1.0	0.615	0.417	6	-7.57	1	0.0368	0.135	0.0	0.365	0.394	112.961	341613	2003	40	0
Anthony Hamilton	I Tried	1.0	0.661	0.51	8	-6.233	1	0.0578	0.1	0.0	0.1	0.461	140.879	302187	2003	36	0
Anthony Hamilton	I'll Wait (To Fall In Love)	1.0	0.732	0.583	0	-5.513	1	0.0526	0.208	0.0	0.0938	0.493	134.217	255253	2011	37	0
Anthony Hamilton	I'm A Mess	1.0	0.494	0.534	10	-5.827	0	0.317	0.132	0.0	0.353	0.548	144.165	264120	2003	44	0
Anthony Hamilton	Lucille	1.0	0.57	0.455	11	-10.221	1	0.049	0.333	0.00104	0.0976	0.187	94.331	268840	2003	34	0
Anthony Hamilton	My First Love	1.0	0.632	0.519	0	-6.051	1	0.0552	0.219	0.0	0.755	0.367	77.493	370960	2003	35	0
Anton Rubinstein	Melody in F Major, Op. 3, No. 1	1.0	0.355	0.0435	5	-29.002	1	0.0592	0.995	0.859	0.0976	0.0453	74.107	272627	1961	32	0
Ariana Grande	Baby I	1.0	0.724	0.796	1	-3.686	1	0.0328	0.0152	0.0	0.354	0.542	101.975	197600	2013	65	0
Ariana Grande	Nobody (with Chaka Khan)	1.0	0.331	0.772	10	-4.405	1	0.0907	0.0406	0.0	0.0847	0.738	207.75	180280	2019	50	0
Art Pepper	You Go To My Head	1.0	0.575	0.0935	3	-15.906	1	0.0858	0.978	0.452	0.109	0.301	65.23	258040	1988	52	0
Average White Band	You Got It	1.0	0.747	0.669	0	-12.648	1	0.0372	0.464	0.0111	0.0843	0.822	125.762	216200	1974	20	0
B.o.B	Both of Us (feat. Taylor Swift)	1.0	0.677	0.722	7	-7.088	1	0.0522	0.0213	0.0	0.207	0.0483	125.091	216120	2012	57	1
B.o.B	So Good	1.0	0.66	0.9	7	-5.02	1	0.14	0.0403	0.0	0.219	0.591	85.51	213253	2012	65	0
BG Kenny Lou	Fucc up the City	1.0	0.9	0.397	11	-10.154	0	0.331	0.236	0.0	0.106	0.43	131.983	266424	2019	19	1
Baby Bash	Cyclone - Main	1.0	0.644	0.725	11	-4.622	1	0.0701	0.0112	0.0	0.146	0.584	77.977	222053	2007	65	1
Bad Suns	Cardiac Arrest	1.0	0.616	0.88	1	-3.59	1	0.042	0.0521	0.000717	0.0539	0.751	94.011	182518	2014	63	0
Bad Wolves	Zombie	1.0	0.448	0.826	2	-3.244	0	0.0319	0.00756	0.0	0.117	0.19	77.093	254805	2018	72	0
Badfinger	No Matter What - Remastered 2010	1.0	0.529	0.743	9	-5.523	1	0.0481	0.177	0.0	0.0759	0.78	116.817	180547	1970	59	0
Bankroll Fresh	Hot Boy	1.0	0.8	0.64	4	-8.671	1	0.124	0.0804	0.0	0.141	0.488	130.026	166220	2015	42	1
Beanie Sigel	Feel It In The Air	1.0	0.358	0.596	3	-11.906	0	0.224	0.147	0.0	0.212	0.484	178.008	246160	2005	55	1
Bear Hands	Agora	1.0	0.733	0.589	1	-5.165	1	0.0272	0.217	0.00588	0.392	0.766	97.498	160013	2014	43	0
Bear Hands	Giants	1.0	0.464	0.845	0	-5.496	1	0.0967	0.0053	0.0134	0.0748	0.423	184.028	188267	2014	50	0
Bebe Winans	Lift Every Voice And Sing	1.0	0.308	0.147	3	-12.14	1	0.0396	0.938	0.0	0.103	0.269	167.528	275107	2012	32	0
Bedřich Smetana	3 Polkas de salon, Op. 7, JB 1:60: No. 3 in E Major, Allegretto ma non troppo	1.0	0.364	0.0339	4	-29.879	1	0.0471	0.995	0.822	0.0837	0.0383	130.722	114827	2009	26	0
Belmont	Recluse	1.0	0.585	0.972	11	-2.935	1	0.055	2.37e-05	3.81e-06	0.127	0.533	107.515	191813	2018	33	0
Belmont	Write Me Off	1.0	0.533	0.974	1	-2.759	1	0.136	0.000214	0.0	0.454	0.465	144.989	216440	2018	33	0
Benny The Butcher	New Streets	1.0	0.437	0.827	7	-3.528	1	0.393	0.127	0.0	0.131	0.547	144.353	122477	2020	53	1
Benny The Butcher	Took the Money to the Plug's House	1.0	0.651	0.702	10	-8.87	0	0.364	0.673	0.0	0.253	0.772	81.041	200000	2019	43	1
Benny The Butcher	War Paint (feat. Westside Gunn & Conway the Machine)	1.0	0.625	0.724	2	-3.075	1	0.437	0.375	0.0	0.6	0.83	80.814	270160	2020	55	1
Best Coast	Boyfriend	1.0	0.26	0.879	0	-3.85	1	0.0524	0.085	0.132	0.144	0.611	115.024	149813	2010	46	0
Between You & Me	Dakota (Reimagined)	1.0	0.681	0.612	0	-5.208	1	0.0235	0.113	0.0	0.287	0.25	97.506	199750	2019	44	0
Between You & Me	Overthinking	1.0	0.394	0.939	2	-4.366	1	0.098	5.22e-05	0.000707	0.237	0.635	194.978	180869	2017	43	0
Beyoncé	Halo	1.0	0.508	0.72	11	-5.908	0	0.0628	0.272	0.0	0.0563	0.472	79.983	261640	2008	78	0
Big Ghost Ltd	Fendi Seats	1.0	0.513	0.723	4	-9.715	0	0.364	0.074	1e-06	0.0957	0.461	79.93	170134	2015	45	1
Big L	Deadly Combination (feat. 2Pac)	1.0	0.901	0.513	1	-10.029	1	0.305	0.0913	0.0	0.267	0.628	91.477	152373	2016	60	1
Big L	Flamboyant	1.0	0.844	0.675	11	-9.791	1	0.233	0.279	0.0	0.113	0.9	93.927	187093	2016	44	1
Big L	MVP	1.0	0.857	0.672	10	-5.934	0	0.16	0.0649	0.0	0.355	0.671	86.777	218867	1995	53	0
Big L	The Heist	1.0	0.781	0.646	1	-9.9	1	0.42	0.00424	0.0	0.0646	0.813	93.5	182587	2016	36	1
Big Pun	Off Wit His Head (featuring Prospect)	1.0	0.677	0.778	2	-4.886	1	0.15	0.378	0.0	0.14	0.4	92.038	246267	2000	36	0
Big Pun	Still Not a Player (feat. Joe)	1.0	0.9	0.619	4	-6.518	0	0.312	0.203	0.00156	0.0647	0.864	94.121	236800	1998	69	0
Big Sean	Blessings	1.0	0.79	0.621	1	-7.634	1	0.275	0.333	0.0	0.122	0.15	118.895	252040	2015	66	1
Big Sean	Deep Reverence (feat. Nipsey Hussle)	1.0	0.631	0.848	9	-4.839	0	0.31	0.138	0.0	0.379	0.265	91.879	231352	2020	63	1
Bill Frisell	Gimme a Holler	1.0	0.546	0.21	7	-14.846	1	0.0345	0.844	0.882	0.211	0.225	113.683	305067	1997	23	0
Bill Withers	Another Day to Run	1.0	0.681	0.497	9	-13.194	1	0.0525	0.247	0.00804	0.231	0.479	122.894	279850	1972	33	0
Bill Withers	I Don't Want You on My Mind	1.0	0.538	0.389	11	-13.558	0	0.0486	0.561	0.357	0.0864	0.79	244.091	276733	1994	36	0
Billy Joel	Just the Way You Are	1.0	0.589	0.453	7	-8.912	1	0.0397	0.703	2.54e-05	0.134	0.513	139.148	290573	1977	71	0
Bilmuri	Slow Dancing in the Dark	1.0	0.51	0.531	4	-7.335	1	0.0262	0.0405	2.13e-05	0.162	0.193	93.483	181123	2019	42	0
Bing Crosby	Frosty The Snowman - Remastered 2006	1.0	0.519	0.368	7	-11.622	1	0.0796	0.617	0.0	0.0859	0.854	160.37	133413	2006	65	0
Birdman	Leather So Soft	1.0	0.824	0.671	8	-7.213	0	0.242	0.111	1.24e-06	0.0899	0.379	144.991	291413	2006	51	1
Birdman	Pop Bottles - Main	1.0	0.534	0.813	9	-5.902	1	0.406	0.0695	0.0	0.606	0.548	149.613	205133	2007	55	1
Bishop Larry Trotter	My Worship Is For Real	1.0	0.364	0.453	1	-6.473	1	0.0432	0.194	0.0	0.867	0.199	80.21	426333	2001	30	0
Bishop Paul S. Morton, Sr.	Your Tears, Pt. 1	1.0	0.313	0.756	0	-9.036	1	0.0749	0.0374	5.85e-05	0.254	0.346	91.014	496027	1989	34	0
Bizzy Banks	30	1.0	0.736	0.532	1	-10.481	1	0.455	0.356	0.0	0.369	0.566	144.769	146904	2019	50	1
Bizzy Banks	Extra Sturdy	1.0	0.796	0.805	1	-2.28	1	0.312	0.324	0.0	0.267	0.743	142.968	112028	2020	51	1
Bizzy Banks	Pop Out	1.0	0.848	0.714	11	-6.119	0	0.362	0.13	0.0	0.202	0.617	139.993	151348	2019	46	1
Bizzy Banks	Quarantine Freestyle	1.0	0.849	0.587	0	-7.729	1	0.252	0.00704	1.42e-06	0.109	0.577	76.471	125460	2020	46	1
Blaggards	Big Strong Man [Yakety Sax]	1.0	0.415	0.864	9	-8.061	0	0.117	0.0119	0.000217	0.37	0.859	115.922	236440	2005	40	0
Blind Melon	The Pusher	1.0	0.438	0.576	9	-8.727	1	0.032	0.0302	1.09e-05	0.0988	0.742	165.277	186467	1996	56	0
Bob Marley & The Wailers	Buffalo Soldier	1.0	0.929	0.463	9	-8.651	1	0.308	0.142	5.26e-06	0.0634	0.757	124.084	255840	1983	72	0
Bob Marley & The Wailers	Coming In From The Cold	1.0	0.734	0.631	5	-6.887	1	0.098	0.258	2.4e-06	0.0752	0.962	141.478	271023	1980	62	0
Bob Marley & The Wailers	"Could You Be Loved - 12"" Mix"	1.0	0.916	0.72	0	-8.548	1	0.1	0.36	0.00016	0.0958	0.76	103.312	237000	1980	77	0
Bob Marley & The Wailers	Natty Dread	1.0	0.773	0.439	9	-9.778	1	0.327	0.424	0.000126	0.0464	0.847	88.364	215667	1974	50	0
Bob Marley & The Wailers	Redemption Song - Band Version	1.0	0.896	0.399	7	-10.076	1	0.0589	0.104	0.00136	0.0771	0.945	117.019	290867	1980	45	0
Bob Marley & The Wailers	Who The Cap Fit	1.0	0.788	0.485	7	-11.328	0	0.0777	0.0938	0.000507	0.0833	0.744	138.395	283067	1976	52	0
Bobby Brown	Rock Wit'cha	1.0	0.685	0.547	11	-12.417	0	0.0487	0.0306	1.05e-05	0.0694	0.909	77.509	289533	1988	53	0
Bobby Caldwell	Open Your Eyes	1.0	0.735	0.287	2	-17.593	1	0.0465	0.889	0.00124	0.0775	0.408	95.539	225493	1991	47	0
Bobby Lee	After Midnight	1.0	0.666	0.612	4	-8.519	0	0.0364	0.113	0.685	0.0606	0.721	144.036	253040	2012	0	0
Bobby Lee	I Was Born A Loser	1.0	0.748	0.49	5	-12.85	1	0.0295	0.349	3e-06	0.103	0.809	94.898	174427	1994	8	0
Bobby Lee	Where My Asians At?	1.0	0.247	0.998	0	-3.244	1	0.904	0.376	1.04e-06	0.988	0.0518	172.08	151320	2014	8	1
Bobby Shmurda	Hot N*gga	1.0	0.794	0.51	9	-7.314	1	0.42	0.0505	1.81e-06	0.0562	0.18	167.879	194561	2014	74	1
Boldy James	Carruth	1.0	0.545	0.362	6	-13.491	1	0.122	0.83	3.46e-05	0.112	0.707	79.288	133560	2020	50	1
Bone Crusher	Never Scared (feat. Cam'ron, Jadakiss & Busta Rhymes) - The Takeover Remix - Club Mix	1.0	0.627	0.889	11	-3.485	0	0.0664	0.00511	0.001	0.22	0.491	73.012	319907	2003	47	1
Bone Crusher	Never Scared (feat. Killer Mike & T.I.) - Club Mix	1.0	0.586	0.927	11	-4.077	0	0.194	0.00924	1.85e-06	0.344	0.528	73.023	316133	2003	57	1
Bone Thugs-N-Harmony	Everything 100 (feat. Ty Dolla $ign)	1.0	0.602	0.83	1	-5.198	1	0.108	0.185	0.0	0.129	0.333	92.791	207848	2013	24	1
Bone Thugs-N-Harmony	Tha Crossroads	1.0	0.679	0.509	4	-7.31	1	0.0617	0.0856	0.0	0.438	0.534	144.29	223547	1995	68	1
Bonnie Raitt	Something To Talk About	1.0	0.795	0.64	1	-13.478	1	0.0294	0.0631	2.13e-06	0.0692	0.954	102.633	227573	1991	64	0
Boys Like Girls	Hero / Heroine - Tom Lord-Alge Mix	1.0	0.422	0.904	0	-4.531	1	0.102	0.02	4.49e-06	0.686	0.32	163.929	232240	2006	47	0
Boyz II Men	On Bended Knee	1.0	0.631	0.516	8	-8.225	1	0.0353	0.413	0.0	0.115	0.18	116.654	329800	1994	59	0
Brandy	I Wanna Be Down	1.0	0.703	0.469	11	-6.515	0	0.0415	0.177	0.0	0.726	0.661	86.038	291667	1994	63	0
Brent Jones	Open Your Mouth and Say Something (album Mix)	1.0	0.674	0.888	1	-3.898	1	0.0689	0.099	0.0	0.783	0.477	102.991	288272	2018	21	0
Brian McKnight	One Last Cry	1.0	0.355	0.126	11	-13.801	1	0.0301	0.909	0.000337	0.131	0.102	109.769	295358	1992	66	0
Brick Wolfpack	Hot Sauce	1.0	0.893	0.459	8	-12.253	1	0.521	0.0838	0.0	0.484	0.398	129.987	184216	2019	41	1
Broadside	Coffee Talk	1.0	0.287	0.96	8	-2.856	1	0.144	0.000298	0.00364	0.375	0.457	173.998	174147	2015	58	0
Bruno Mars	Finesse - Remix; feat. Cardi B	1.0	0.704	0.859	5	-4.877	0	0.0996	0.0185	0.0	0.0215	0.926	105.115	217289	2017	76	0
Bryant Oden	The Duck Song (The Duck and the Lemonade Stand)	1.0	0.453	0.449	0	-11.825	1	0.104	0.91	0.0012	0.0863	0.708	184.814	191733	2009	50	0
Butcher Brown	Broad Rock	1.0	0.782	0.476	1	-6.266	0	0.0503	0.528	0.0033	0.088	0.508	98.018	238080	2020	30	0
Butcher Brown	Cabbage (DFC)	1.0	0.588	0.864	1	-8.375	1	0.0407	0.0117	0.844	0.0555	0.745	115.992	278907	2020	41	0
CHVRCHES	By the Throat	1.0	0.637	0.543	10	-7.352	0	0.0308	0.00367	0.000756	0.0834	0.311	117.997	249360	2013	32	0
CHVRCHES	Lungs	1.0	0.704	0.538	5	-6.38	1	0.0649	0.0103	2.13e-06	0.102	0.782	95.004	182867	2013	35	0
Caleb Hawley	I Choose - Acoustic	1.0	0.558	0.465	2	-13.504	0	0.0655	0.74	0.00419	0.175	0.382	192.064	227375	2018	7	0
Caleb Hawley	Spinnin' - acoustic	1.0	0.436	0.177	9	-15.685	0	0.062	0.95	0.000703	0.16	0.545	143.989	214250	2018	12	0
Caleb Hawley	Tell Me What It's Like to Have a Dream Come True	1.0	0.448	0.504	0	-6.781	1	0.0698	0.324	0.00103	0.267	0.224	179.921	150750	2020	15	0
Caleb Hawley	U & I	1.0	0.509	0.812	8	-5.439	1	0.0537	0.00128	1.99e-05	0.214	0.689	159.878	229640	2013	86	0
Caleb Hawley	You're Still the One	1.0	0.849	0.181	2	-11.374	1	0.0662	0.724	0.00312	0.102	0.612	116.013	245732	2018	42	0
Camila Cabello	Havana (feat. Young Thug)	1.0	0.765	0.523	2	-4.333	1	0.03	0.184	3.56e-05	0.132	0.394	104.988	217307	2018	82	0
Camille Saint-Saëns	Carnival of the Animals, R. 125: Aquarium	1.0	0.277	0.0394	9	-31.355	0	0.0386	0.98	0.98	0.103	0.128	80.509	121693	1961	43	0
Camille Saint-Saëns	Carnival of the Animals: XIII. Le Cygne (The Swan)	1.0	0.19	0.0144	9	-35.651	0	0.0443	0.978	0.193	0.0646	0.0542	59.176	190133	1997	39	0
Camille Saint-Saëns	Le Carnaval des Animaux, R.125: 13. The Swan (Arr. Hodge for Cello, Harp & Ensemble)	1.0	0.234	0.148	7	-22.02	1	0.0508	0.977	0.858	0.125	0.0703	69.289	153937	2017	58	0
Camille Saint-Saëns	Le carnaval des animaux, R. 125 (Arr. for 2 Pianos & Orchestra): XIII. Le cygne	1.0	0.2	0.0128	7	-35.392	1	0.0446	0.99	0.73	0.103	0.0572	77.847	153133	2016	44	0
Camille Saint-Saëns	The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)	1.0	0.169	0.0161	9	-31.034	0	0.0442	0.986	0.86	0.0805	0.0573	128.143	174267	2015	69	0
Camille Saint-Saëns	The Carnival of the Animals: Aquarium	1.0	0.192	0.0231	9	-28.434	0	0.0464	0.984	0.558	0.0776	0.04	70.368	166133	2020	53	0
Camille Saint-Saëns	The Carnival of the Animals: The Swan	1.0	0.169	0.0161	9	-31.034	0	0.0442	0.986	0.86	0.0805	0.0573	128.143	174267	2015	69	0
Canibus	2000 B.C. (Before Canibus)	1.0	0.703	0.794	10	-9.025	0	0.301	0.0661	1.17e-06	0.405	0.463	98.152	211267	2000	28	1
Canibus	2000 B.C. (Before Canibus) - Album Version (Edited)	1.0	0.522	0.773	1	-9.082	1	0.329	0.0398	9e-05	0.431	0.442	98.508	211693	2000	0	0
Canibus	Liberal Arts	1.0	0.717	0.842	7	-3.28	1	0.311	0.213	0.000366	0.37	0.73	96.104	265693	2005	15	1
Canibus	Second Round K.O.	1.0	0.74	0.537	7	-11.337	1	0.457	0.0159	0.0	0.564	0.686	94.025	277533	1998	41	1
Canibus	Second Round K.O. - Album Version (Edited)	1.0	0.734	0.537	7	-11.68	1	0.49	0.0165	0.0	0.65	0.663	93.78	277440	1998	4	0
Cardi B	Bronx Season	1.0	0.808	0.593	5	-5.063	0	0.247	0.134	0.0	0.124	0.239	88.057	142456	2017	49	1
Cardi B	Lick (feat. Offset)	1.0	0.838	0.637	2	-4.708	1	0.22	0.159	0.0	0.0704	0.352	116.077	233793	2017	56	1
Carl Philipp Emanuel Bach	Solfeggio in C Minor, Wq. 117/2, H. 220	1.0	0.276	0.197	5	-24.951	0	0.056	0.992	0.919	0.1	0.4	75.641	58227	2014	44	0
Carly Rae Jepsen	Cut To The Feeling	1.0	0.71	0.909	2	-2.777	1	0.0639	0.0135	0.00123	0.303	0.648	115.001	207960	2017	68	0
Carrie Underwood	Before He Cheats	1.0	0.519	0.749	6	-3.318	0	0.0405	0.271	0.0	0.119	0.29	147.905	199947	2005	76	0
Cartel	If I Were to Write the Song...	1.0	0.323	0.669	6	-6.67	1	0.0497	0.0945	1.17e-05	0.179	0.415	141.937	576467	2007	20	0
Cartel	Lonely One	1.0	0.385	0.793	8	-4.11	1	0.037	0.00137	0.0	0.123	0.331	153.012	333120	2007	24	0
Cartel Bo	Big Difference	1.0	0.719	0.752	2	-5.557	1	0.408	0.201	0.0	0.12	0.513	125.119	217173	2019	7	1
Cartel Bo	I Shoot 1st	1.0	0.692	0.681	11	-4.661	1	0.247	0.25	0.0	0.684	0.388	147.015	166176	2019	12	1
Cartel Bo	Raccs	1.0	0.839	0.704	10	-5.552	1	0.125	0.0379	0.0	0.115	0.269	125.054	217896	2019	9	1
Cartel Bo	Test It	1.0	0.786	0.59	8	-7.767	1	0.278	0.0496	0.0	0.112	0.379	130.065	207770	2019	5	1
Cartel Bo	Tha Grease	1.0	0.708	0.507	1	-5.728	1	0.108	0.0962	0.0	0.216	0.42	122.951	258116	2018	7	1
Casanova	Stress	1.0	0.576	0.576	6	-9.453	0	0.411	0.0138	0.0	0.102	0.369	103.547	198200	2020	36	0
Cassidy	Hotel (feat. R. Kelly)	1.0	0.68	0.659	0	-6.855	1	0.211	0.118	0.0	0.107	0.411	91.259	247040	2004	55	0
Cassidy	On To The Next One	1.0	0.632	0.768	6	-6.427	1	0.325	0.309	0.0	0.765	0.736	87.475	159973	2010	38	1
Chaka Khan	Ain't Nobody	1.0	0.799	0.878	1	-7.109	1	0.0434	0.189	0.000105	0.14	0.816	104.284	280853	1996	70	0
Chaka Khan	Fate - WSM Compilation Edit	1.0	0.671	0.69	8	-9.089	0	0.0335	0.172	0.00201	0.187	0.875	116.133	194493	1981	50	0
Chaka Khan	Got to Be There	1.0	0.315	0.484	8	-10.83	1	0.0285	0.272	3.04e-06	0.0862	0.364	171.156	230627	1982	42	0
Chaka Khan	Hello Happiness	1.0	0.679	0.764	4	-4.557	1	0.0551	0.133	2.44e-05	0.11	0.562	109.72	236341	2019	48	0
Chaka Khan	Love Me Still	1.0	0.601	0.161	1	-12.692	1	0.0301	0.897	0.000461	0.0729	0.458	75.927	207733	1996	52	0
Chaka Khan	Move Me No Mountain	1.0	0.629	0.81	5	-7.018	0	0.0336	0.257	0.00856	0.305	0.853	99.923	253320	2017	49	0
Chaka Khan	This Is My Night	1.0	0.735	0.893	4	-11.104	0	0.0718	0.0136	0.033	0.048	0.693	108.901	280627	1984	44	0
Chaka Khan	What Cha' Gonna Do for Me	1.0	0.684	0.64	5	-9.906	0	0.0309	0.221	0.0102	0.179	0.777	106.023	234267	1981	45	0
Chance the Rapper	All We Got (feat. Kanye West & Chicago Children's Choir)	1.0	0.531	0.544	0	-8.615	0	0.462	0.308	1.89e-06	0.0835	0.398	131.921	203794	2016	62	0
Chance the Rapper	Mixtape (feat. Young Thug & Lil Yachty)	1.0	0.838	0.43	1	-5.868	1	0.281	0.0498	1.59e-05	0.0977	0.126	126.981	292910	2016	56	1
Charles Gounod	Ave Maria	1.0	0.132	0.0195	0	-29.76	1	0.0445	0.993	0.888	0.0569	0.14	81.616	163267	2015	64	0
Charles Jenkins & Fellowship Chicago	Awesome	1.0	0.602	0.771	1	-6.109	0	0.0556	0.484	0.0	0.373	0.255	127.99	349147	2012	48	0
Charlie Haden	Blessed Assurance	1.0	0.496	0.0735	3	-24.379	1	0.159	0.98	0.942	0.11	0.55	51.137	126587	2012	19	0
Charlie Haden	Bringing In The Sheaves	1.0	0.518	0.0337	0	-25.788	1	0.0467	0.968	0.953	0.126	0.212	72.075	171613	2012	18	0
Charlie Haden	Deep River	1.0	0.564	0.0249	3	-29.016	1	0.0408	0.973	0.928	0.0999	0.24	78.796	114907	2012	25	0
Charlie Haden	Down By The Riverside	1.0	0.531	0.0334	7	-26.003	1	0.042	0.986	0.957	0.149	0.434	82.881	175240	2012	23	0
Charlie Haden	Give Me That Old Time Religion	1.0	0.63	0.0571	7	-22.397	1	0.0465	0.971	0.949	0.121	0.359	77.129	177307	2012	17	0
